monitored and supported by local public health authorities.",https://www.canada.ca/en/public-health/news/2026/05/speaking-remarks-for-the-chief-public-health-officer.html
2026-05-22,"U.S. HHS Secretary Kennedy signed a targeted PREP Act declaration to support the development and deployment of medical countermeasures to Andes virus. The Secretary determines that the spread of Andes virus and the resulting disease Hantavirus Pulmonary Syndrome (HPS) constitutes a credible risk of a public health emergency for purposes of this Declaration. This Act helps to remove barriers to research and response efforts, and support the development of potential treatments and countermeasures. ",https://x.com/SecKennedy/status/2057939697091969518
2026-05-22,"France's Health Minister confirmed that all contacts currently hospitalized are still hospitalized, and that the confirmed case (Case 8, Gh_ID 9) is still in intensive care. Contacts will remain in isolation for the full 42 day period to prevent further transmission.",https://x.com/franceinfo/status/2057750318041960690
2026-05-25,"Spain's Ministry of Health confirms that a Spanish national has tested positive for hantavirus, raising the total number of cases to 13 (Gh_ID24). The patient had been in preventive quarantine at the Gomez Ulla Hospital in Madrid and was detected during the periodic checks carried out on the contacts under follow-up. Following PCR confirmation, the patient was transferred to the High-Level Isolation Unit of the hospital where they will remain under specialized medical supervision with biosafety measures in place. This is the second positive case among the fourteen Spanish nationals who were evacuated from Tenerife to Madrid.  ",https://x.com/sanidadgob/status/2058965352352985529
2026-05-26,"UKHSA updates that the British national who was hospitalized in the Netherlands (Case 6, Gh_ID7) has returned to England. The case was medically evacuated back to the United Kingdom and will adhere to stringent infection prevention and control measures. ",https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-05-26,"UKHSA reports an additional 6 individuals have left Arrowe Park Hospital on the Wirral over the weekend, returning home or to other suitable accommodations to complete the 45-day isolation period. ",https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-05-28,"WHO reports that as of May 22, more than 600 contacts (53% high risk, 47% low risk), have been identified across 32 countries, territories and areas, with risk-based classification of contacts outlined in the Interim Guidance for Management of contacts of Andes virus (ANDV) cases.  ",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON604
2026-05-28,"High risk contacts, who had extended contact with confirmed or probable hantavirus cases, were identified in 26 countries, as follows: Africa (Cabo Verde, South Africa and Zimbabwe); Americas (Canada and United States of America); Europe (Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Netherlands, Poland, Spain, Sweden, Switzerland, Türkiye, the United Kingdom, and a United Kingdom Overseas territory (Saint Helena, Ascension, and Tristan da Cunha)); Western Pacific (Australia, Indonesia, Singapore, Taiwan, China and United Kingdom Overseas territory (Pitcairn Islands)).",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON604
2026-05-28,"Low risk contacts, who were in a setting with confirmed or probable hantavirus cases but didn't have prolonged contact, were identified in 19 countries, as follows: Africa (Cabo Verde and South Africa); Americas (Canada, United States of America and Chile); Europe (Austria, Belgium, Denmark, France, Netherlands, Norway, Poland, Portugal, Switzerland, the United Kingdom, and a United Kingdom Overseas territory (Saint Helena, Ascension, and Tristan da Cunha)); Eastern Mediterranean (Saudi Arabia).",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON604
2026-05-28,"WHO reports an update on Andes virus transmission between humans, noting that based on the available information and existing observations, human-to-human transmission of ANDV did occurr on the cruise ship, however it does not exhibit transmission dynamic consistent with highly transmissible airborne pathogens. WHO has made the following assumptions that transmission may include contact with an infected indvidual or contaminated surfaces, ""through the air"" transmission (via deposit of infectious respiratory particles onto exposed mucosal surfaces), and/or airborne transmission (inhalation of infectious respiratory particles). ",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON604
2026-05-28,"WHO reports, based on previous outbreak data and these new 13 cases, the estimated mean incubation time of the virus is 22 days, which projects a probability of safe release of individuals from quarantine of 96% at 42 days (the current recommendation of quarantine for high-risk contacts and self-monitoring for low-risk contacts).",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON604
2026-05-28,"WHO assesses the risk of transmission to passengers and crew as moderate, but at the global level is low. WHO continues to recommend 42-day quarantine for high-risk contacts and self-monitoring for low-risk contacts.",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON604
2026-05-29,Swiss media report that Case 7 (Gh_ID5) has been discharged from University Hospital Zurich and no longer needs hospital care.,https://www.srf.ch/news/schweiz/universitaetsspital-zuerich-schweizer-hantavirus-patient-aus-dem-spital-entlassen
2026-06-01,"Oceanwide Expeditions confirms that the planned deep cleaning and disinfection of MV Hondius has been completed in Rotterdam, the Netherlands. On 29 May, the vessel was assessed, and was cleared on 30 May by Dutch health authority officials to return to full operations. With this, MV Hondius was declared ready to resume operations.  ",https://oceanwide-expeditions.com/blog/press-update-1-june-2026-13-00-hrs-cet?_gl=1*57x4n2*_up*MQ..*_ga*ODk1NDIwMzY3LjE3ODExMTk2MDg.*_ga_4NF7C856F1*czE3ODExMTk2MDckbzEkZzEkdDE3ODExMTk2MTMkajU0JGwwJGg4NDQyNzI3MjQ.
2026-06-01,"Five Americans who were quarantining in Nebraska were released to go home and finish their mandatory six-week quarantine. They are leaving three weeks after they arrived for quarantine,at the end of their federal requirement to stay through May 31. The federal government chartered private planes for their transportation. Local health departments will monitor the patients after their arrival. New York, California, Arizona and Oregon have agreed to accept passengers. Temperature checks will be used to monitor returning individuals. Thirteen passengers remain in quarantine in Nebraska, but some are expected to leave over the coming weeks to complete their monitoring at home. ",https://nebraskaexaminer.com/briefs/five-quarantined-cruise-passengers-facing-hantavirus-risk-head-home-from-nebraska-13-remain/
2026-06-02,"UKHSA reports that their self-isolation period for contacts of hantavirus cases has been reduced to 42 days after review of evidence, aligning with WHO guidance. The initial 45-day approach was based on early risk assessment.",https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-06-03,One individual  in the Netherlands under home quarantine had a weak positive test signal. Several additional tests were conducted and returned negative results. The individual showed no signs of illness and is not considered positive. The individual is now required to complete two weekly tests using multiple bodily materials. ,https://www.rivm.nl/en/hantavirus/current-information
2026-06-04,Spanish Ministry of Health confirms that Case 10 (Gh_ID18) has recovered. They were asymptomatic for three days and tested negative on their last two PCR tests. They have been discharged from Gomez Ulla Hospital in Madrid and returned home. ,https://www.sanidad.gob.es/areas/alertasEmergenciasSanitarias/alertasActuales/hantavirus/home.htm
2026-06-05,French officials report that Case 9 (Gh_ID15) is still in intensive care in stable condition. ,https://sante.gouv.fr/actualites-presse/actualites-du-ministere/article/cas-d-hantavirus-a-bord-du-navire-mv-hondius-suivez-la-situation-en-direct
2026-06-05,"French officials report that the isolation period for contacts of Case 2 (Gh_ID2) on international flights ends tomorrow, June 6. They will return home in coordination with the Regional Health Agencies (ARS). Isolation period for the four cruise ship passengers will end on June 21.  ",https://sante.gouv.fr/actualites-presse/actualites-du-ministere/article/cas-d-hantavirus-a-bord-du-navire-mv-hondius-suivez-la-situation-en-direct
2026-06-05,"Argentina expands its investigation into the origins of the hantavirus to Malargüe, Mendoza. Case 1 (Gh_ID1) and Case 2 (Gh_ID2) visited this city during the last leg of their trip in Argentina. US CDC biologists will join this investigation and teams will use protective equipment to collect rodent samples, which will be sent to the lab in Buenos Aires for testing. These test results could take up to a month. Lab results from Ushuaia are still pending. ",https://apnews.com/article/argentina-hantavirus-investigation-cdc-ushuaia-mendoza-1e375f0eb2120343bfde222bc47d53c5
2026-06-06,"The two Singapore residents who departed the ship on April 25, Gh_ID10 and Gh_ID11, have completed their quarantine, tested negative, and were released. ",https://www.channelnewsasia.com/singapore/hantavirus-quarantine-mv-hondius-test-negative-cda-6167161
2026-06-06,US CDC updates that the quarantine period for individuals who embarked the ship prior to the identification of the outbreak has ended. These passengers were monitored by their state and local health departments for a 42-day period that ended on June 6. No cases were detected among these individuals. ,https://www.cdc.gov/hantavirus/situation-summary/index.html
2026-06-07,Spanish Ministry of Health confirms that Case 13 (Gh_ID24) is still hospitalized in an isolation unit. The patient has a slight fever and their condition has not worsened. Patient will remain under surveillance until their symptoms resolve and they meet criteria for discharge.,https://www.democrata.es/en/current-events/the-contacts-of-the-hantavirus-outbreak-from-mv-hondius-leave-gomez-ulla-after-testing-negative/
2026-06-08,"The Office of the Provinical Health Officer of British Columbia confirmed that the Canadian confirmed hantavirus case, Case 11 (Gh_ID20), has recovered and was discharged from the hospital late last week. The three other Canadian contacts continue to be asymptomatic and will remain in quarantine for the 42 day isolation period. ",https://www.cbc.ca/news/canada/british-columbia/canadian-cruise-passenger-hantavirus-recovered-9.7227784
2026-06-09,Three additional US ship passengers isolating in Nebraska have returned to their home states. They will continue to be monitored by local and state public health officials for two weeks. Ten passengers remain in quarantine in Nebraska.  ,https://www.reuters.com/business/healthcare-pharmaceuticals/three-more-us-passengers-hantavirus-hit-ship-return-home-states-2026-06-09/
2026-06-09,Spain's Ministry of Health reports that the 12 Spanish nationals who were aboard the MV Hondius have completed their 28 day hospital quarantine. They have been discharged and will spend the remainder of the 42-day quarantine period in self-isolation at home. ,https://www.sanidad.gob.es/areas/alertasEmergenciasSanitarias/alertasActuales/hantavirus/docs/20260622_informe_CIERRE_HANTAVIRUS.pdf
2026-06-10,"UKHSA laboratories have confirmed a positive hantavirus test result for an individual in Tristan de Cunha (Case 8, GhID_12) , who was previously considered a probable case by WHO with exposure on MV Hondius. This is not a new case. Samples were collected in May. The individual is clinically well at home in Tristan de Cunha. ",https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
